Skeppargatan 11, 3 010 000 kr, 1 rum, 24 m², 125400 kr/m², 2019-11-26
Cardellgatan 4A, 3 500 000 kr, 1 rum, 28½ m², 122800 kr/m², 2019-11-23
Storgatan 32, 2 940 000 kr, 2 rum, 25 m², 117600 kr/m², 2019-11-20
Linnégatan 102, 2 300 000 kr, 1 rum, 16 m², 143800 kr/m², 2019-11-15
Oxenstiernsgatan 37, 2 500 000 kr, 1 rum, 19 m², 131600 kr/m², 2019-11-14
Banérgatan 53, 3 130 000 kr, 1 rum, 27 m², 115900 kr/m², 2019-11-13
Torstenssonsgatan, 4 300 000 kr, 1 rum, 30 m², 143300 kr/m², 2019-11-13
Kommendörsgatan 33A, 3 000 000 kr, 1 rum, 24 m², 125000 kr/m², 2019-11-12
Kommendörsgatan 33A, 2 900 000 kr, 1 rum, 18 m², 161100 kr/m², 2019-11-11
Gumshornsgatan 7, 3 300 000 kr, 1 rum, 28½ m², 115800 kr/m², 2019-11-06
Wittstocksgatan 2, 3 200 000 kr, 1 rum, 25 m², 128000 kr/m², 2019-10-31
Östermalmsgatan 61, 3 210 000 kr, 1 rum, 26 m², 123500 kr/m², 2019-10-30
Nybrogatan 50, 2 850 000 kr, 1 rum, 25 m², 114000 kr/m², 2019-10-25
Banérgatan 50, 3 000 000 kr, 1 rum, 30 m², 100000 kr/m², 2019-10-25
Artillerigatan 29, 3 000 000 kr, 1 rum, 23 m², 130400 kr/m², 2019-10-22
Östermalmsgatan 68C, 3 400 000 kr, 1 rum, 29 m², 117200 kr/m², 2019-10-19
Grevgatan 40, 3 020 000 kr, 1 rum, 25 m², 120800 kr/m², 2019-10-15
Grevgatan 20, 3 100 000 kr, 1 rum, 24 m², 129200 kr/m², 2019-10-11
Nybrogatan 72, 3 150 000 kr, 1 rum, 25 m², 126000 kr/m², 2019-09-27
Kommendörsgatan 33A, 2 900 000 kr, 1 rum, 20 m², 145000 kr/m², 2019-09-27
Grevgatan 20, 3 300 000 kr, 1 rum, 27 m², 122200 kr/m², 2019-09-23
Sibyllegatan 43A, 2 600 000 kr, 1 rum, 17 m², 152900 kr/m², 2019-09-19
Grevgatan 51, 3 380 000 kr, 1 rum, 26 m², 130000 kr/m², 2019-09-17
Grevgatan 23B, 2 725 000 kr, 1 rum, 24 m², 113500 kr/m², 2019-09-17
Tysta gatan 3, 3 250 000 kr, 1 rum, 28 m², 116100 kr/m², 2019-09-17
Nybrogatan 65, 3 515 000 kr, 1 rum, 29 m², 121200 kr/m², 2019-09-14
Karlavägen 46B, 3 530 000 kr, 1 rum, 29 m², 121700 kr/m², 2019-09-13
Jungfrugatan 54, 3 025 000 kr, 1 rum, 22 m², 137500 kr/m², 2019-09-12
Sibyllegatan 26, 2 955 000 kr, 1 rum, 24 m², 123100 kr/m², 2019-08-30
Linnégatan 20, 2 770 000 kr, 1 rum, 25 m², 110800 kr/m², 2019-08-26
Styrmansgatan 16B, 3 150 000 kr, 1 rum, 24 m², 131300 kr/m², 2019-08-21
Cardellgatan 4A, 3 750 000 kr, 1 rum, 29½ m², 127100 kr/m², 2019-08-17
Oxenstiernsgatan 37, 2 500 000 kr, 1 rum, 19 m², 131600 kr/m², 2019-08-09
Kommendörsgatan 33A, 3 250 000 kr, 1 rum, 30 m², 108300 kr/m², 2019-08-07
Skeppargatan 22, 3 200 000 kr, 1 rum, 23 m², 139100 kr/m², 2019-08-01
Nybrogatan 50, 3 080 000 kr, 1 rum, 25 m², 123200 kr/m², 2019-07-29
Storgatan 32, 3 360 000 kr, 1 rum, 28 m², 120000 kr/m², 2019-07-25
Styrmansgatan 16B, 3 300 000 kr, 1 rum, 26 m², 126900 kr/m², 2019-07-15
Kommendörsgatan 33A, 3 150 000 kr, 1 rum, 24 m², 131300 kr/m², 2019-07-14
Gyllenstiernsgatan 19, 2 550 000 kr, 1 rum, 19 m², 134200 kr/m², 2019-07-12
Östermalmsgatan 79, 3 500 000 kr, 1 rum, 28½ m², 122800 kr/m², 2019-07-10
Artillerigatan 29, 2 790 000 kr, 1 rum, 23 m², 121300 kr/m², 2019-07-05
Oxenstiernsgatan 37, 2 450 000 kr, 1 rum, 20 m², 122500 kr/m², 2019-06-19
Banérgatan 25, 2 820 000 kr, 1 rum, 25 m², 112800 kr/m², 2019-06-15
Grevgatan 49, 3 050 000 kr, 1 rum, 26 m², 117300 kr/m², 2019-06-14
Riddargatan 21, 3 300 000 kr, 1 rum, 30 m², 110000 kr/m², 2019-06-12
Banérgatan 7, 3 250 000 kr, 1 rum, 25 m², 130000 kr/m², 2019-06-06
Riddargatan 43A, 3 000 000 kr, 1 rum, 27 m², 111100 kr/m², 2019-06-05
Styrmansgatan 16B, 3 000 000 kr, 1 rum, 24½ m², 122400 kr/m², 2019-05-25
Valhallavägen 172, 2 950 000 kr, 1 rum, 25 m², 118000 kr/m², 2019-04-30
Linnégatan 92, 2 660 000 kr, 1 rum, 19 m², 140000 kr/m², 2019-04-11
